round_id,scene_id,qx,qy,qz,qw,x,y,z,width,score,label,integration_time,planning_time
1,052a3eea42d04a4eb7b887a855352e14,0.840498779996781,-0.04116183396689204,0.5394662457860503,0.029046065239708797,0.02999999821186066,0.17249999642372135,0.08250000178813935,0.022291696071624758,0.88340336,1,0.0212094783782959,0.034813880920410156
2,5689513834884c95a1a625e3433d4d2a,0.7740472055210651,0.5147300426489789,0.2792313729619994,-0.24069430232842484,0.1350000020116568,0.09750000089406968,0.10500000268220903,0.037092791497707375,0.8008997,0,0.016274213790893555,0.03414440155029297
2,4de77eaecf934e58aa02871138b112ce,0.8722302233245515,-0.18478216279513615,0.24312452565455198,0.38204771280195376,0.17249999642372135,0.1799999959766865,0.10500000268220903,0.04029443264007569,0.7353388,0,0.016292810440063477,0.036774396896362305
3,192e659209e544fa8c0dd2865851c3f2,0.7836935093549399,0.3448304572747278,0.4764225650261694,-0.19984488651082963,0.022499996423721316,0.1574999962002039,0.0900000035762787,0.03259266391396523,0.83400756,1,0.012571573257446289,0.0366055965423584
3,3c0cd77f0e3c44e78236382e7f8fccfa,0.8403669972314393,0.13261201081891585,-0.5207444662760254,0.07087005992430997,0.19499999731779102,0.2700000017881394,0.09750000089406968,0.03627716526389123,0.9727592,0,0.008394479751586914,0.03452014923095703
3,d05dd9b85f264367a8caaa8d4c72cbfa,0.7546746924719043,-0.646047319319581,-0.09428896997615074,-0.0647962952895942,0.1350000020116568,0.1425000021234155,0.1125000022351742,0.03634545207023621,0.85390675,0,0.03234362602233887,0.036701202392578125
4,36323c726d8e45739425ab02bf7f1f18,0.45452131747554686,0.882181443028376,-0.07629502884724107,0.0966713096521621,0.1125000022351742,0.202499994635582,0.1125000022351742,0.03757523149251939,0.95356023,1,0.03887200355529785,0.03249526023864746
6,50dea238d7144a888f654040cdbe4994,0.764717635542454,-0.5861732341087456,-0.21390238321754654,-0.16079069611985156,0.18749999552965166,0.01500000357627869,0.10500000268220903,0.036333138495683676,0.9189077,1,0.01595616340637207,0.03764033317565918
6,c7d4db7cc5c349808e7f4f8ab192a8ee,0.8227509387798091,-0.2797153337474319,0.4714068247484147,0.15038560564137426,0.09750000089406968,0.18749999552965166,0.0900000035762787,0.03642036840319634,0.9733535,1,0.025611162185668945,0.03454995155334473
6,d9f1801955f54ee5b31f2b023580fe85,0.9149540784496347,-0.20699486411834542,0.28672457122808154,0.19442525764694332,0.19499999731779102,0.1350000020116568,0.08250000178813935,0.03571457862854004,0.61840314,1,0.016002893447875977,0.03941178321838379
6,a2c4997a5b2445c3acbf80e242f016cf,0.9147724918185233,-0.05168288432140309,0.39882339829954483,0.03821079231255386,0.01500000357627869,0.05999999642372132,0.09750000089406968,0.03651146069169045,0.971287,1,0.016775131225585938,0.03644585609436035
6,78b018888440467fb9c206a49681f6ea,0.8027787989014253,-0.4807125440398402,-0.3055528472518695,-0.17634939062385543,0.12750000134110454,0.037500000000000006,0.10500000268220903,0.03826657086610795,0.921735,1,0.015609979629516602,0.037604331970214844
7,df84cd1e81ae43aeb604f13f46d25574,0.8291717908296041,-0.2822693729321533,0.46279526194923776,0.13645031298700877,0.1799999959766865,0.26250000000000007,0.0900000035762787,0.03571457862854004,0.9699154,1,0.016117334365844727,0.037760257720947266
7,e41d3251db71401680ffaebfc124265d,0.8851103151627773,0.03750740349370978,0.4635076206486089,-0.018265001403627662,0.052500003576278695,0.037500000000000006,0.0900000035762787,0.036676660180091865,0.95534635,1,0.015262842178344727,0.03629899024963379
7,7874b06f2c26407eb8ecc0411cdf9ff6,0.9721547388721119,0.21703203075015995,-0.03256331019535403,0.0821698980532332,0.202499994635582,0.16499999687075617,0.09750000089406968,0.039290584623813636,0.57343143,1,0.028200387954711914,0.0357816219329834
7,1efb33c75d394d2d999fa308e9043910,0.6743914335745768,0.5263988855226616,-0.4551908869152744,0.24678262522108985,0.1799999959766865,0.18749999552965166,0.0900000035762787,0.03617762848734856,0.904484,1,0.008968591690063477,0.04079389572143555
7,6fa3debec0d94d72bb56be85595e0a68,0.9965829192114429,0.07233982056220796,-0.026568096241879332,-0.029724934972316965,0.08250000178813935,0.12000000178813935,0.10500000268220903,0.04312496781349183,0.80257934,1,0.005347490310668945,0.03715014457702637
